選手名,チーム,出身地,血液型,プロ通算年,年俸,寸評
"小園　海斗","広島東洋カープ","兵庫","AB","8","15,000万円（推定）","昨季は自身初のタイトルとなる首位打者、最高出塁率の2冠を獲得。得点圏打率.413と抜群の勝負強さも光り、シーズンを通して打線をけん引した。今季もここぞの場面で高い集中力を発揮し、ヒットを積み重ねたい。"
"桐敷　拓馬","阪神タイガース","埼玉","O","5","8,500万円（推定）","キレのある直球を投げ込む左腕。昨季は故障などもあって4度の登録抹消を経験するも、チーム4位の43試合に登板。防御率2.84、13ホールドと一定の成績を収めた。今季は本来の投球を取り戻し、再び勝利の方程式入りを狙う。"
"宮本　丈","東京ヤクルトスワローズ","大阪","B","9","2,800万円（推定）","優れた選球眼が光るクラッチヒッター。昨季は代打を中心として80試合に出場。代打打率.309を記録し、得点圏でも3割近い打率を残した。今季も持ち前の打棒を存分に発揮し、勝負どころでの一打でファンを魅了する。"
"増居　翔太","東京ヤクルトスワローズ","滋賀","B","1","","ゲームメーク力に秀でた即戦力左腕。2024年の日本選手権では、2完封を記録してMVPを獲得。昨秋には社会人日本代表としてアジア選手権に出場し、ベストナインを受賞した。1年目から本領を発揮し、チームの勝利に貢献する。"
"清水　達也","中日ドラゴンズ","埼玉","AB","9","12,500万円（推定）","威力抜群の直球とフォークが武器のセットアッパー。昨季は4年連続で50試合登板をクリア。チームトップの30ホールドをマークするなど、フル回転の活躍を見せた。今季も勝利の方程式の一翼を担い、チームのリードを守りきる。"
"シンクレア（シンクレア　ジョセフ　孝ノ助）","埼玉西武ライオンズ","カナダ","不明","3","","長身を生かしたピッチングが持ち味の育成左腕。昨季は三軍で制球難に苦しみ、二軍での登板はゼロに終わった。3年目を迎える今季はコントロールを安定させ、支配下昇格に向けて首脳陣に成長を示したい。"
"Ｃ．ロドリゲス","中日ドラゴンズ","キューバ","不明","3","","高い身体能力を生かしたプレーが光る助っ人内野手。昨季は打率.207とバットでアピールできず。前年を下回る20試合の出場にとどまった。今季は与えられたチャンスで結果を残し、一軍の戦力となりたい。"
"森　駿太","中日ドラゴンズ","神奈川","B","2","620万円（推定）","鋭いスイングで長打を放つ若手内野手。1年目の昨季は二軍で74試合に出場し、リーグ2位の9本塁打をマーク。9月には一軍でプロ初安打を放つなど、飛躍の足がかりをつくった。今季は開幕一軍入りを目指し、春先からアピールを重ねる。"
"山﨑　照英","阪神タイガース","長崎","A","1","","積極果敢に次の塁を狙う育成外野手。昨季まで関西独立リーグの兵庫でプレーし、2024年には40試合で74盗塁を記録。25年も快足ぶりを発揮し、2年連続で盗塁王に輝いた。将来のスピードスターを目指し、実戦でアピールを重ねる。"
"村松　開人","中日ドラゴンズ","静岡","B","4","2,800万円（推定）","シュアな打撃と高い守備力が持ち味の内野手。3年目の昨季は開幕スタメンを勝ち取るも、打率1割台と結果を残せず。出場は前年を下回る54試合にとどまった。今季は打撃の確実性を向上させ、首脳陣の期待に応えたい。"
"松本　健吾","東京ヤクルトスワローズ","東京","B","3","2,000万円（推定）","多彩な変化球を高い制球力で操る右腕。2年目の昨季は救援として23試合に登板し、防御率1.87を記録。ロングリリーフをこなすなど、さまざまな場面で腕を振った。今季も首脳陣の起用に応え、チームの勝利に貢献する。"
"Ｒ．ドリス","阪神タイガース","ドミニカ共和国","不明","6","","150キロ超の速球とスプリットが光る右腕。昨季は7月中旬まで日本の独立リーグでプレー。その後6年ぶりに阪神へ復帰すると、20試合の登板で防御率1.93の好成績を収めた。今季は開幕からフル稼働し、ブルペン陣を支えたい。"
"Ｓ．コンスエグラ","阪神タイガース","ドミニカ共和国","不明","2","","痛烈な打球を放つ育成外野手。NPB1年目の昨季は5月下旬に足首を痛めた影響もあり、二軍での出場は25試合止まり。打率.148、0本塁打と持ち味をアピールできなかった。今季は打撃の確実性を高め、実戦で結果を残したい。"
"Ｄ．モレッタ","阪神タイガース","ドミニカ共和国","不明","1","","独特な軌道のスライダーが売りの助っ人右腕。2023年にはメジャーで55試合に登板。24年は右肘手術により全休となるも、昨季の後半戦では完全復活を印象づけた。NPBでも実力を示し、チームの重要なピースとなりたい。"
"佐々木　泰","広島東洋カープ","岐阜","O","2","1,800万円（推定）","積極的なバッティングを見せる中軸候補。ルーキーイヤーの昨季は度重なるケガに苦しむも、54試合の出場で打率.271をマーク。9月には15試合連続安打を記録した。今季は長打力をさらに磨き、レギュラーの座をつかみたい。"
"近藤　廉","中日ドラゴンズ","東京","A","6","900万円（推定）","カット気味の速球を投げ込むサウスポー。昨季は4月に支配下登録へ返り咲き、一軍で16試合に登板。8月以降は防御率1点台を記録するなど、安定した投球を見せた。今季はさらなる飛躍を遂げ、勝利の方程式入りを狙う。"
"髙木　翔斗","広島東洋カープ","岐阜","O","5","500万円（推定）","力強いスイングを見せる5年目捕手。昨季は二軍で30試合に出場。前年を上回る打率.234を記録するも、アピール不足に終わった。今季は攻守両面で技術向上に努め、念願の一軍デビューを目指す。"
"戸井　零士","阪神タイガース","大阪","A","4","480万円（推定）","鋭いライナーを放つ若手内野手。高卒3年目の昨季は二軍で86試合に出場。内野の全ポジションをこなす器用さを見せるも、打率.168と打撃面が振るわなかった。育成契約を結んで迎える今季はミート力を磨き、支配下復帰を目指す。"
"石川　雅規","東京ヤクルトスワローズ","秋田","A","25","3,200万円（推定）","多彩な球種で打者を翻弄するベテラン左腕。昨季はNPB新記録の24年連続勝利を達成するも、トータルでは2勝と振るわず。登板も自己最少の8試合にとどまった。今季は熟練の投球術で打者を手玉に取り、チームを上位に押し上げたい。"
"糸川　亮太","埼玉西武ライオンズ","愛媛","B","3","1,150万円（推定）","大きく落ちるシンカーが武器の右腕。2年目の昨季は5月末からリリーフに専念。8月の一軍再昇格後は13登板で防御率2.89の成績を収め、ブルペン陣を支えた。今季も与えられた役割を全うし、チームの勝利に貢献したい。"
"床田　寛樹","広島東洋カープ","兵庫","A","10","18,500万円（推定）","緩急で打者を翻弄する左腕。昨季は3年連続で規定投球回をクリアするも、9勝12敗と黒星が先行。9月には4試合で計24失点を喫するなど、シーズン終盤に精彩を欠いた。今季は年間を通して安定感を見せ、先発陣をけん引したい。"
"野村　大樹","埼玉西武ライオンズ","兵庫","O","8","1,200万円（推定）","鋭い打球を飛ばすスラッガー。昨季は内野手として開幕一軍入りを果たすも結果を残せず、7月には腰の手術を経験。オフに育成契約を結び、キャッチャーへの挑戦を決断した。今季は捕手としての経験を積みつつ、支配下復帰を目指す。"
"名原　典彦","広島東洋カープ","広島","B","4","","脚力を生かしたプレーが売りの育成外野手。昨季は4月に左膝のケガで戦線離脱。二軍での出場は46試合にとどまり、打率.229とバットで成長を示すこともできなかった。4年目の今季は春先から結果を残し、悲願の支配下登録を目指す。"
"津田　淳哉","阪神タイガース","奈良","O","3","720万円（推定）","真上から力強い直球を投げ下ろす右腕。昨季は二軍で24試合に登板。先発では結果を残せなかったものの、リリーフに専念した7月以降は防御率1.04を記録した。今季は持ち球の精度を磨き、一軍デビューを目指す。"
"大野　雄大","中日ドラゴンズ","京都","O","16","17,000万円（推定）","伸びのある直球と鋭く落ちる変化球が武器のベテラン。昨季は20試合の先発で防御率2.10をマーク。5年ぶりとなる2ケタ勝利を達成し、カムバック賞に輝いた。今季も白星を積み重ね、チームの上位進出に貢献する。"
"小川　泰弘","東京ヤクルトスワローズ","愛知","A","14","8,900万円（推定）","昨季は4月に自身3年ぶりとなる完封勝利を挙げるも、最終的には13先発で4勝止まり。精彩を欠いた登板が多かったこともあり、ローテーションを守れなかった。今季は安定した投球を続け、チームに多くの白星をもたらしたい。"
"岡留　英貴","阪神タイガース","沖縄","O","5","1,900万円（推定）","サイド気味のフォームからキレのあるボールを投げ込む右腕。昨季は開幕を一軍で迎えるも、登板は10試合止まり。二軍では30試合に登板し、防御率1.16と好成績を残した。今季は速球の質をさらに磨き、出番を増やしたい。"
"長谷川　宙輝","東京ヤクルトスワローズ","東京","O","10","900万円（推定）","キレのあるスライダーを投げ込む左腕。昨季は二軍で39試合に登板し、防御率2.21を記録。一定の成績を残したものの、一軍では4登板のみに終わった。今季は持ち球の精度を高め、チームの力となりたい。"
"橋本　星哉","東京ヤクルトスワローズ","兵庫","O","4","650万円（推定）","広角に鋭い打球を放つ育成出身スラッガー。昨季は二軍で91試合に出場し、打率.281をマーク。一軍でもプロ初安打を記録するなど、着実にステップアップを果たした。今季も得意の打撃でアピールし、より多くの出番をつかみたい。"
"西舘　昂汰","東京ヤクルトスワローズ","福岡","不明","3","1,050万円（推定）","力のある直球で打者を封じる2023年のドラフト1位右腕。昨季は前年に受けたトミー・ジョン手術の影響でリハビリが続き、実戦復帰を果たせずにシーズンを終えた。今季はコンディションを万全に整え、マウンドで躍動する姿を見せたい。"
"小川　一平","阪神タイガース","神奈川","A","7","650万円（推定）","力強い直球が持ち味の育成右腕。昨季は2023年9月に受けたトミー・ジョン手術のリハビリを乗り越え、実戦に復帰。二軍で5試合に登板し、完全復活へ向けて一歩前進した。今季は支配下登録へ返り咲き、一軍のマウンドに上がりたい。"
"星　知弥","東京ヤクルトスワローズ","栃木","O","10","5,600万円（推定）","150キロ台のストレートで打者を押し込む右腕。昨季は44試合に登板し、防御率1.67を記録。7月中旬からはクローザーを任され、17セーブを挙げる活躍を披露した。今季も重要な場面でマウンドに上がり、ブルペン陣をけん引する。"
"増田　珠","東京ヤクルトスワローズ","長崎","O","9","1,600万円（推定）","持ち前の明るさでナインを鼓舞するムードメーカー。昨季は年間を通して一軍に同行し、自己最多の75試合に出場。代打打率.350を記録するなど、貴重な戦力となった。今季はキャンプからアピールを重ね、スタメンの機会を増やしたい。"
"廣澤　優","東京ヤクルトスワローズ","東京","O","2","350万円（推定）","150キロ台の直球を投げ下ろす長身右腕。ルーキーイヤーの昨季は、二軍で26試合に救援登板。今季は春先から実戦でアピールを重ね、開幕前に支配下登録を勝ち取った。自慢のストレートを武器に、一軍のマウンドで輝きを放ちたい。"
"福島　圭音","阪神タイガース","埼玉","O","3","300万円（推定）","抜群の脚力を誇る韋駄天。昨季は二軍でチーム最多の111試合に出場し、ウエスタン・リーグの盗塁王を獲得。公式戦で初めて柵越えの本塁打を放つなど、打撃でも成長を示した。3年目の今季もアピールを続け、支配下契約を勝ち取りたい。"
"齋藤　綱記","中日ドラゴンズ","北海道","O","12","5,500万円（推定）","切れ味鋭いスライダーで空振りを奪うサウスポー。昨季は42試合に登板し、防御率1.64と安定した投球を披露。貴重な左のリリーフとしてチームに大きく貢献した。今季も自身の役割を全うし、首脳陣の起用に応えたい。"
"坂本　誠志郎","阪神タイガース","兵庫","O","11","10,000万円（推定）","昨季は自己最多の117試合に出場し、出塁率.357をマーク。守備では卓越したインサイドワークで投手陣を引っ張り、ベストナインとゴールデングラブ賞に輝いた。今季も持ち味を存分に生かし、正妻の座を確固たるものとしたい。"
"坂倉　将吾","広島東洋カープ","千葉","A","10","14,000万円（推定）","昨季は打率.238、5本塁打と不振に苦しみ、自身5年ぶりに規定打席に届かず。3月に右手中指を手術した影響もあり、ディフェンス面でも精彩を欠いた。今季はコンディションを万全に整え、中心選手としてチームをけん引したい。"
"小宮　悠瞳","東京ヤクルトスワローズ","神奈川","不明","1","","大きな伸びしろを秘めた育成サウスポー。高校3年夏の神奈川大会2回戦では、シード校を相手に2失点の完投勝利を挙げた。ルーキーイヤーの今季は体力面の強化に取り組み、プロで戦うための土台をつくる。"
"木澤　尚文","東京ヤクルトスワローズ","千葉","O","6","6,300万円（推定）","シュートとカットボールを軸に投球を組み立てる右腕。昨季は42試合に登板し、防御率3.40をマーク。シーズン終盤にはイニングまたぎもこなすなど、タフネスぶりを見せた。今季もチームのために腕を振り、ブルペンを支える。"
"三上　愛介","中日ドラゴンズ","愛媛","不明","1","","強肩と高い走塁技術が売りの育成ルーキー。昨季は四国アイランドリーグplusの愛媛に所属。リーグ2位の43盗塁を決め、打撃でも確かな成長を示した。NPB1年目の今季は積極的なプレーでアピールを続け、支配下登録を目指す。"
"Ａ．マルティネス","阪神タイガース","ドミニカ共和国","不明","3","","150キロ前後のストレートを投げ込むドミニカ共和国出身の育成右腕。昨季は二軍で主に先発として9試合に登板し、防御率2.95と一定の結果を残した。今季は変化球の精度をさらに磨き、早い段階での支配下登録を目指す。"
"村上　頌樹","阪神タイガース","兵庫","A","6","23,000万円（推定）","5年目の昨季はリーグトップの175回1/3を投げ、防御率2.10をマーク。14勝を挙げて最多勝に輝くなど、チームのリーグ制覇に大きく貢献した。今季もシーズンを通してローテーションの中心となり、藤川監督の期待に応えたい。"
"渡邉　悠斗","広島東洋カープ","東京","O","2","700万円（推定）","パンチ力のある打撃が魅力の内野手。1年目の昨季は二軍で59試合に出場し、打率.226を記録。10月に一軍へ昇格すると、シーズン最終戦でプロ初ヒットを放った。今季は持ち味のバッティングに磨きをかけ、出番の増加を狙う。"
"Ｊ．コルニエル","埼玉西武ライオンズ","ドミニカ共和国","不明","1","","身体能力の高さが光るドミニカ共和国出身の育成スイッチヒッター。マイナーでは通算392試合に出場。内野の複数ポジションをこなす守備力と将来性を買われ、契約を勝ち取った。いち早く日本の野球に慣れ、支配下昇格へアピールしたい。"
"Ｋ．マラー","中日ドラゴンズ","アメリカ","不明","2","","力強い速球とカットボールが持ち味の長身左腕。来日1年目の昨季は18試合に先発。4勝9敗と負け越したものの、チーム4位の投球回を記録した。今季もローテーションの一翼を担い、より多くの白星をつかみたい。"
"Ｊ．リランソ","東京ヤクルトスワローズ","ドミニカ共和国","不明","1","","力強い速球が武器の助っ人右腕。昨季はマイナーで48試合に救援登板し、防御率3.39をマーク。イニング数を上回る奪三振を記録するなど、能力の高さを示した。NPBでも持ち味を発揮し、ブルペン陣を支えたい。"
"能登　嵩都","阪神タイガース","北海道","A","1","","縦に割れるカーブが特徴の右腕。オイシックスでプレーした昨季は23試合に先発。12勝、防御率2.60を記録するなど、投手主要4部門でリーグトップの数字を残した。1年目から一軍の舞台で活躍し、チームの力になりたい。"
"髙松　渡","埼玉西武ライオンズ","兵庫","A","9","1,150万円（推定）","非凡な脚力を持つ走塁のスペシャリスト。昨季は二軍で打率.304と打力が向上。一軍では代走での出場がメインでありながら、3年ぶりとなるヒットを記録した。今季はバットでの評価をさらに高め、より多くの出番をつかみたい。"
"澤野　聖悠","東京ヤクルトスワローズ","愛知","A","7","300万円（推定）","内野の複数ポジションをこなすユーティリティー。新天地で迎えた昨季は、二軍で85試合に出場。9盗塁を記録するなど持ち味を見せたが、打率1割台とバットでは振るわなかった。今季は打撃の確実性を高め、支配下契約を手繰り寄せたい。"
"隅田　知一郎","埼玉西武ライオンズ","長崎","O","5","16,000万円（推定）","緩急自在の投球で打者を抑える左腕。昨季はチーム2位の159回2/3を投げ、自身初の2ケタ勝利を達成。3、4月度の月間MVPに輝くなど、先発陣の柱として活躍を見せた。今季はさらなる進化を遂げ、タイトル争いに加わりたい。"
"田中　幹也","中日ドラゴンズ","神奈川","O","4","3,600万円（推定）","華麗な守備とシュアな打撃が光る内野手。昨季は故障の影響で出遅れるも、95試合に出場。特に後半戦は打率.337をマークするなど、バットでもチームに貢献した。今季は年間を通した活躍を見せ、レギュラーの座を確固たるものとする。"
"石井　一成","埼玉西武ライオンズ","栃木","O","10","","長打力を備えた打撃と堅実な守備が売りの内野手。日本ハムに所属した昨季は、前年を大幅に上回る108試合に出場。キャリアハイとなる打率.259をマークした。新天地で迎える今季も攻守両面で活躍を見せ、チームの勝利に貢献する。"
"石山　泰稚","東京ヤクルトスワローズ","秋田","A","14","12,000万円（推定）","キレのあるスライダーが武器のベテランリリーバー。昨季は前年を上回る42試合に登板し、特に前半戦は防御率0.66と安定した投球を披露。5月には通算100セーブも達成した。今季はフル回転の働きを見せ、勝利のバトンをつなぐ。"
"石伊　雄太","中日ドラゴンズ","三重","不明","2","2,600万円（推定）","強肩とパンチ力のある打撃が売りの捕手。昨季は新人ながらチーム最多の76試合でスタメンマスクをかぶり、盗塁阻止率.413を記録。得点圏打率.302と勝負強さも光った。今季も攻守に存在感を示し、正捕手の座をつかみたい。"
"石原　貴規","広島東洋カープ","兵庫","A","7","2,000万円（推定）","鋭いスローイングが持ち味のキャッチャー。昨季は開幕からシーズンを通して一軍に同行。51試合に出場するも、打率1割台と悔しい結果に終わった。今季はバッティングを鍛え直し、スタメンマスクの機会を増やしたい。"
"松葉　貴大","中日ドラゴンズ","兵庫","B","14","10,000万円（推定）","昨季は23試合に先発し、防御率2.72を記録。年間を通してローテーションを支え、プロ13年目で初の規定投球回到達を果たした。FA権を行使して残留を決めた今季も、巧みな投球術でチームに勝利をもたらす。"
"大山　悠輔","阪神タイガース","茨城","O","10","34,000万円（推定）","昨季は主に5番打者として起用され、得点圏打率.316と持ち前の勝負強さを発揮。リーグ3位の75打点をマークする活躍でベストナインに輝いた。節目の10年目を迎える今季も攻守両面で躍動し、チームをリーグ連覇に導く。"
"大盛　穂","広島東洋カープ","大阪","A","8","3,100万円（推定）","俊足を生かした走塁と守備が売りの外野手。昨季は年間を通して一軍に同行し、自己最多の102試合に出場。交流戦では打率.375をマークするなど、バットでも存在感を放った。今季も走攻守で躍動し、レギュラーの座を勝ち取りたい。"
"梅野　隆太郎","阪神タイガース","福岡","A","13","12,000万円（推定）","昨季は坂本の台頭もあり、出場は前年を下回る52試合止まり。要所で好リードを見せてチームの優勝に貢献したものの、満足のいくシーズンとはならなかった。13年目の今季は攻守両面で豊富な経験を生かし、チームを引っ張りたい。"
"上間　永遠","埼玉西武ライオンズ","沖縄","B","7","500万円（推定）","多彩な球種を駆使した投球が持ち味の育成右腕。昨季は4月までに二軍で3試合に登板。計19イニングを自責点1に抑えるも、その後は公式戦のマウンドに上がれなかった。今季は持ち球の質を高め、支配下復帰を勝ち取りたい。"
"橋本　侑樹","中日ドラゴンズ","福井","A","7","3,900万円（推定）","切れ味抜群のスライダーで打者を封じるリリーフ左腕。昨季は開幕から13戦連続無失点を記録。8月以降に調子を落とすも、自己最多の12ホールドをマークした。今季は年間を通した活躍を見せ、チームの勝利に貢献する。"
"野田　海人","埼玉西武ライオンズ","福岡","A","4","600万円（推定）","正確な送球が売りの育成捕手。育成契約となって迎えた昨季は、前年に受けた両膝手術のリハビリを経て実戦復帰。二軍でマスクをかぶるまでに回復した。今季は万全のコンディションを取り戻し、支配下への返り咲きを目指す。"
"柿沼　友哉","東京ヤクルトスワローズ","茨城","A","11","","強肩に定評のあるベテラン捕手。ロッテに所属した昨季は、二軍で盗塁阻止率.167と持ち味を発揮できず。ルーキーイヤー以来9年ぶりに一軍出場がゼロに終わった。新天地で迎える今季は、任された出番で存在感を示したい。"
"勝野　昌慶","中日ドラゴンズ","岐阜","O","8","3,300万円（推定）","150キロ台中盤の速球で打者を押し込む右腕。昨季は開幕を一軍で迎えるも、防御率5.00と振るわず。7月下旬の登録抹消後は、再昇格できずにシーズンを終えた。今季は自身のピッチングを見つめ直し、再びブルペン陣の力となりたい。"
"金子　功児","埼玉西武ライオンズ","神奈川","A","3","320万円（推定）","打撃センスに定評がある育成内野手。昨季は二軍で打率.197と振るわず、出場試合数も前年から大幅に減少。不本意なシーズンを送った。3年目の今季はあらゆる面でレベルアップし、支配下契約を手繰り寄せたい。"
"塹江　敦哉","広島東洋カープ","香川","A","12","3,500万円（推定）","サイドから威力のある速球を投げ込む救援左腕。昨季は28試合に登板するも、防御率5点台と低迷。対左打者の被打率が3割を超えるなど、首脳陣の起用に応えられなかった。今季は与えられた場面で結果を残し、チームの勝利に貢献する。"
"藤嶋　健人","中日ドラゴンズ","愛知","O","10","12,000万円（推定）","力強い直球と鋭いスプリットで打者を封じる鉄腕。選手会長に就任した昨季は、チームトップの60試合に登板。自己最多の23ホールドをマークし、ブルペン陣をけん引した。今季も任された場面で腕を振り、勝利を手繰り寄せる。"
"樋口　正修","中日ドラゴンズ","埼玉","A","4","800万円（推定）","スピード感のあるプレーが魅力の内野手。昨季は開幕一軍入りを果たし、代走を中心として33試合に出場。8月17日にはプロ初ヒットを記録するなど、収穫を得たシーズンとなった。今季は打撃面での成長を示し、出番を増やしたい。"
"黒田　将矢","埼玉西武ライオンズ","青森","B","5","730万円（推定）","鋭く落ちるフォークを投げ込む右腕。昨季は開幕一軍入りを果たし、3月30日にプロ初登板。シーズンを通して8試合でマウンドに上がり、防御率5.68を記録した。5年目の今季は制球力に磨きをかけ、一軍定着を目指す。"
"山野辺　翔","東京ヤクルトスワローズ","東京","AB","8","1,100万円（推定）","ディフェンス面に定評のあるユーティリティー。昨季は5月に西武からトレードで加入するもアピールしきれず。8月以降は二軍生活が続き、悔しさの残るシーズンとなった。今季はより多くの出番をつかみ、チームの力となりたい。"
"前川　右京","阪神タイガース","三重","O","5","3,100万円（推定）","高い打撃技術を誇る外野手。昨季は開幕スタメンに名を連ねて4月まで好調を保つも、以降は低迷。69試合の出場にとどまり、本塁打はシーズン最終戦の1本のみに終わった。5年目の今季は自身の打撃を見つめ直し、巻き返しを図る。"
"高梨　裕稔","東京ヤクルトスワローズ","千葉","B","13","4,300万円（推定）","直球と鋭く落ちるフォークが武器の右腕。昨季は17試合に登板し、防御率3.10をマーク。勝ち星には恵まれなかったものの、安定した投球で先発陣を支えた。FA権を行使せずに残留して臨む今季も、チームの勝利のために腕を振る。"
"齋藤　大翔","埼玉西武ライオンズ","石川","A","2","1,000万円（推定）","高い守備力が武器の若手内野手。1年目の昨季は右肩の違和感で出遅れるも、二軍で打率.290を記録。シーズン終盤には一軍デビューを果たし、プロ初ヒットも放った。今季は春先からアピールを重ね、レギュラー争いに名乗りを上げる。"
"櫻井　頼之介","中日ドラゴンズ","兵庫","不明","1","","多彩な変化球を精度良く投げ込む新人右腕。昨年の全日本大学野球選手権では、決勝で完投するなど東北福祉大の優勝に貢献。大会の最優秀投手賞にも輝いた。持ち前の投球術を披露し、ルーキーイヤーから一軍の舞台で活躍したい。"
"椎葉　剛","阪神タイガース","大阪","A","3","1,000万円（推定）","150キロ前後の快速球を投げ込むリリーフ右腕。昨季は二軍でチームトップの42試合に登板し、防御率2.20を記録。6月には一軍デビューも果たすなど、貴重な経験を積んだ。今季は安定感に磨きをかけ、より多くの出番をつかみたい。"
